source lib,target lib,source API,target API,frequency
argparse,configargparse,ArgumentParser,ArgParser,1
argparse,configargparse,add_argument,add_argument,1
dataproperty,typepy,is_not_empty_string,is_not_null_string,2
dataproperty,typepy,is_empty_sequence,is_empty_sequence,2
dataproperty,typepy,is_empty_string,is_null_string,2
dataproperty,typepy,IntegerType,Integer,1
dataproperty,typepy,try_convert,convert,1
dataproperty,typepy,DataProperty,"DateTime,convert",1
eventlet,gevent,monkey_patch,patch_all,1
flask-restful,flask-restplus,"Blueprint,Api",Namespace,1
flask,fastapi,Flask,FastAPI,1
flask,quart,render_template,render_template,2
flask,quart,Flask,Quart,6
flask,quart,get_json,get_json,1
flask,quart,abort,abort,2
flask,quart,jsonify,jsonify,2
flask,quart,make_response,make_response,1
flask,quart,flash,flash,1
flask,quart,,,1
flask,quart,Blueprint,Blueprint,2
flask,quart,Response,Response,1
flask,uvicorn,"Flask,run",run,1
gcloud-aio-core,aiohttp,post,"ClientSession,post,json",2
gevent,eventlet,patch_all,monkey_patch,2
gevent,eventlet,"WSGIServer,serve_forever","server,listen",1
kafka-python,confluent-kafka,KafkaConsumer,Consumer,1
kafka-python,confluent-kafka,KafkaProducer,Producer,2
kafka-python,confluent-kafka,get_kafka_consumer,"Consumer,suscribe",1
kafka-python,confluent-kafka,send,produce,1
lockfile,fasteners,LockFile,InterProcessLock,5
lockfile,fasteners,acquire,acquire,5
logbook,loguru,"Logger,disable",disable,1
logbook,loguru,"Logger,enable",enable,1
openpyxl,xlsxwriter,create_sheet,add_worksheet,1
py-bcrypt,bcrypt,checkpw,checkpw,1
pycrypto,pycryptodome,new,new,2
pycrypto,pycryptodome,loads,loads,1
pycrypto,pycryptodome,encrypt,encrypt_and_digest,1
pycrypto,pycryptodome,encrypt,encrypt,1
pycryptodome,pycryptodomex,"bytes_to_long,long_to_bytes,new","bytes_to_long,long_to_bytes,new",1
pycryptodome,pycryptodomex,"new,get_random_bytes,importKey","new,get_random_bytes,importKey",1
pymilvus-orm,pymilvus,drop,drop_collection,1
pyqt5,pyside6,exec_,exec,3
pyqt5,pyside6,start,start,1
pyqt5,pyside6,pos,position,1
pyqt5,pyside6,pos,"position,toPoint",1
python-ldap,ldap3,initialize,Server,1
python-ldap,ldap3,search_s,search,1
raven,sentry-sdk,Sentry,init,1
raven,sentry-sdk,captureException,capture_exception,1
raven,sentry-sdk,log_exc,capture_exception,1
raven,sentry-sdk,environ,capture_message,1
raven,sentry-sdk,"Sentry,init_app",init,1
raven,sentry-sdk,Client,init,1
requests,aiohttp,get,"ClientSession,get",6
requests,aiohttp,json,json,4
requests,aiohttp,text,text,1
requests,aiohttp,get,get,1
requests,aiohttp,post,post,1
ruamel.yaml,pyyaml,load,safe_load,5
ruamel.yaml,pyyaml,dump,safe_dump,3
slackclient,slack-sdk,"RTMClient,WebClient","RTMClient,WebClient",1
slackclient,slack-sdk,RTMClient,RTMClient,1
xlsxwriter,openpyxl,add_worksheet,create_sheet,1
